1	509	500	473	479	504	488	477	497
2	500	489	461	473	495	476	468	488
3	489	475	447	461	484	462	454	476
4	475	460	429	447	469	444	436	462
5	460	445	405	429	452	426	418	444
6	445	430	390	405	437	410	398	426
7	430	414	374	390	422	393	384	410
8	414	402	355	374	408	378	364	393
9	402	432	396	355	416	413	376	378
10	273	271	230	234	272	248	232	249
11	276	273	234	242	275	249	238	257
12	278	276	242	254	277	257	246	262
13	280	278	254	247	279	262	251	260
14	284	280	247	253	283	260	250	264
15	289	284	253	258	285	264	256	274
16	292	289	258	282	291	274	269	286
17	303	292	282	305	297	286	294	304
18	319	303	305	322	310	304	312	320
19	344	319	322	348	330	320	334	345
20	432	464	442	396	450	453	420	413
21	606	612	624	619	608	615	621	611
22	612	623	633	624	614	627	628	615
23	623	632	644	633	625	638	640	627
24	377	344	348	383	358	345	363	379
25	464	491	483	442	478	485	467	453
26	415	377	383	424	395	379	401	421
27	491	514	510	483	502	511	498	485
28	463	415	424	456	439	421	441	458
29	639	619	624	633	630	621	628	636
30	639	633	644	657	636	640	649	645
31	514	528	531	510	520	530	522	511
32	496	463	456	480	482	458	470	487
33	518	496	480	503	507	487	492	512
34	528	542	547	531	536	544	537	530
35	632	643	661	644	637	652	653	638
36	657	644	661	678	649	653	667	665
37	643	658	683	661	650	668	671	652
38	678	661	683	709	667	671	698	692
39	658	669	691	683	663	681	686	668
40	669	684	697	691	679	688	693	681
41	684	702	713	697	694	707	703	688
42	702	717	732	713	710	726	722	707
43	717	733	758	732	727	745	744	726
44	733	747	786	758	740	764	768	745
45	747	760	795	786	754	782	790	764
46	760	772	806	795	767	791	802	782
47	772	779	818	806	776	799	813	791
48	779	778	825	818	780	803	822	799
49	778	770	823	825	774	800	824	803
50	770	761	817	823	766	792	819	800
51	761	750	808	817	757	784	814	792
52	750	737	789	808	743	759	798	784
53	737	723	755	789	731	738	769	759
54	723	708	734	755	715	719	742	738
55	708	687	711	734	699	700	721	719
56	687	670	682	711	680	677	695	700
57	670	654	656	682	662	655	666	677
58	534	518	503	523	524	512	515	526
59	542	555	561	547	548	558	554	544
60	545	534	523	535	538	526	529	540
61	555	570	576	561	563	572	569	558
62	557	545	535	546	550	540	541	551
63	568	557	546	560	562	551	553	564
64	570	584	590	576	578	587	583	572
65	751	709	683	730	728	698	705	739
66	683	691	720	730	686	704	725	705
67	580	568	560	574	573	564	566	577
68	593	580	574	588	586	577	581	591
69	607	593	588	603	599	591	596	604
70	631	607	603	626	617	604	613	629
71	654	631	626	656	642	629	641	655
72	584	600	602	590	592	601	595	587
73	809	751	730	781	785	739	749	796
74	600	620	616	602	610	618	609	601
75	856	809	781	828	834	796	804	841
76	431	479	473	446	457	477	459	438
77	313	343	314	266	327	328	295	296
78	343	380	351	314	360	362	329	328
79	131	105	97	136	117	103	115	133
80	230	202	197	234	219	199	218	232
81	380	431	391	351	403	411	367	362
82	163	131	136	165	143	133	148	164
83	202	163	165	197	186	164	185	199
84	620	646	648	616	635	647	634	618
85	886	856	828	859	873	841	845	875
86	912	886	859	888	900	875	877	899
87	646	676	672	648	659	673	660	647
88	676	718	712	672	696	714	689	673
89	930	912	888	909	920	899	897	919
90	718	787	765	712	746	773	735	714
91	944	930	909	925	938	919	917	937
92	950	944	925	923	948	937	924	940
93	787	846	831	765	816	836	801	773
94	846	881	863	831	865	872	852	836
95	954	950	923	927	952	940	926	942
96	881	906	876	863	893	890	871	872
97	958	954	927	931	956	942	928	945
98	906	922	887	876	915	908	882	890
99	955	958	931	933	957	945	932	946
100	922	939	896	887	934	918	892	908
101	951	955	933	936	953	946	935	943
102	939	947	911	896	941	929	905	918
